name,alternate,party,constituency
MOKEMO Zacharie,KESSALE Prosper,PCT,Loukolela
MOBONDZO ENDZONGA Marien,LEKAKA Nadège Carole,PCT,Mossaka 1
OTOKA Oscar,BOKAMBISSA Prudent,PCT,Mossaka 2
BOKOUMAKA Gabriel,MAFIMBA BOUYA Jean Raoul,PCT,Bokoma
OWASSA YAUCKA Abel Jo,IBARA Jean,PCT,Owando commune
ONDONGO Gilbert,BONGO-SAMBY IBOMBO Louise,PCT,Owando district
BININGA Aimé Ange Wilfrid,MFALI Maturin,PCT,Ewo commune
ALOUMBA Alexandre,EKONGO Adolphe,PCT,Ewo district
OTSALEYOUA Saturnin,OYERONDAYA Louisie,PCT,Okoyo
MOUELE Serge Hubert,DASSIA Robert,PCT,Mbama
OPIMBAT Léon Alfred,POUPET Emmanuel,PCT,Mbomo
NGANFOUOMO Charles,OMVOUELET Francis Pépin,PCT,Etoumbi
HOBIE Thierry,EDJO Jean Robert,PCT,Kellé
NDINGA MAKANDA Accel Arnaud,EZOUNA NGUIMBI Laure Jeremih,PCT,Ouesso 1
MOTTOM MAMONI Léonidas Carrel,ALONTSAMI Raymond,PCT,Ouesso 2
MBOUMA Albert,MONBANDJO Jean Roger Bosco,PCT,Pokola
CHISSO Adélaïde Rufine,FOUNGUI Athanase,PCT,Pikounda
OKOUENI Michel,AVOUNGOU Georges,PCT,Kabo
ZONIABA AYIMESSONE Henri,BEH Jean Claude,PCT,Souanké
MINDA Pierre Christian,KIBA Salomon,PCT,Mokéko
NGOZOK MISSEKA Golfe,MASSE DENGUE Rodrigue,PCT,Ngbala
NDOUANE DAMBERT René,MIKILIK Athanase,PCT,Sembé
MOKA Alain,MANGUELE Marie Solange,PCT,Impfondo commune
DOLAMA Virginie Euphrasie,KAMARA BANDHIOUGOU Hilley,PCT,Impfondo district
SEKO Hyppolite,DANGUIME Martial,PCT,Bouanela
SABAYE Fernand,BELEMBO Auguste,PCT,Bétou
DJOMBO Henri,BANZANI Sébastien Rigobert,PCT,Enyellé
MANIA Venance,BELEMENE DZAMOND Hilaire,PCT,Dongou
TONO Marie Louise,MOULOUMBA Piorrot Jean Marc,PCT,Epena 1
BONGOUAMBE MOLOBO Baccer,MAKASSELA EWHAKOU Herdy,PCT,Epena 2
KANGA Jean Bruno,DOLOBO BOKOCKOU Gabriel,PCT,Liranga
BAMBI GOMA Gerald Lone,TSIAKOUAMA Christophe,Indépendant,Makélékélé 1
BADIABIO Joseph,MALELA Bernard,Indépendant,Makélékélé 2
BOUDZIKA Bonaventure,MATOKOT Aristide,CDR,Makélékélé 3
MAMBOUO née SITA Olga Clarisse,LOUBANGASSOU Daniel,Indépendant,Makélékélé 4
MATSIMA KIMBEMBE Préference,BALOKI Gisèle,Indépendant,Bacongo 1
KIBOZI Régis Joseph,LOKO Etienne,Indépendant,Bacongo 2
KOURISSA Jean De Dieu,BOBOT Pascal Edmond,PCT,Poto-poto 1
OPIMBAT née MBOUNDZA MOKE EKOTIKAMBI Charlotte,NGOUMBA Gabriel,PCT,Poto-poto 2
GASSACKYS Ferrol Constant Patrick,MPIKA MAMPASSI René,PCT,Poto-poto 3
MOUAGNI Aimé Hydevert,KOUAZAU MAU Yvon Brice,CPR,Moungali 1
INGANI INES NEFER Bertille,BAMBA Octave,PCT,Moungali 2
MOUSSODIA Jean Didace Médard,MAYOYO Rémy Pierre,PULP,Moungali 3
MONDELE Juste Désiré,AKOUALA GAMBOU Francis Rivelin,CLUB 2002 PUR,Ouenzé 1
ONDZE Dominique,KIBOYI Omer,PCT,Ouenzé 2
OYO EMBOUNOU Jules Junior Romy,OKEMBA PITY Nathalie Sylvie,PCT,Ouenzé 3
GOUAMBA Ninon Pachel,MBATANI Gogel,Indépendant,Ouenzé 4
NIANGA Blandine,MBONGO MVOULI OBAMBESSA Luther,PCT,Talangai 1
IBOVI Jean Claude,GAMPFINA BAMPE Bory,MDP,Talangai 2
OBAMBI Pierre,ETOUA Claver David,PCT,Talangai 3
ELENGA Faustin,OFAMALEKOU Ghislain Urbain,PCT,Talangai 4
LEMBOUMBA née IKIA SASSOU-NGUESSO Claudia,LENGA Isidore,PCT,Talangai 5
SAMBA Sylvain,NFOUTOU NKOUNGA Antoine,Indépendant,Mfilou 1
BIDIE BIAMBEMBA Placide Helb,OYINDZA Emmanuel,RC,Mfilou 2
MALONGA Nicolas Jean Jacques,BASSEGELA née BIANFOUANA Albertine,Indépendant,Madibou
TIELE GAMBIA OLOU Antoinette,IKANI OBAMBI Maurice,PCT,Djiri 1
NGAMBILI IBAM Bersol Exaucé,NOUMAZALALI Linda,PCT,Djiri 2
NYANGA ELENGA André,OFOUNGA Joseph,PCT,Ile Mbamou
