itemLabel,role,partyLabel,areaLabel
NGOKANA Denis Auguste Marie,deputy,PCT,Boundji
LEKOUNDZOU TSATSA Avanke,alternate,PCT,Boundji
AMBETO Blaise,deputy,PCT,Ngoko
OKONDZA Jean Fréderic,alternate,PCT,Ngoko
AYESSA Firmin,deputy,PCT,Makoua
YEKA Fréderic,alternate,PCT,Makoua
IKEMOU Théodore,deputy,PCT,Ntokou
MOUANDZA MOUYABI Francis,alternate,PCT,Ntokou
BOUYA Jean Jacques,deputy,PCT,Tchikapika
OMBAKA Jean Michel,alternate,PCT,Tchikapika
MOKEMO Zacharie,deputy,PCT,Loukolela
KESSALE Prosper,alternate,PCT,Loukolela
MOBONDZO ENDZONGA Marien,deputy,PCT,Mossaka 1
LEKAKA Nadège Carole,alternate,PCT,Mossaka 1
OTOKA Oscar,deputy,PCT,Mossaka 2
BOKAMBISSA Prudent,alternate,PCT,Mossaka 2
BOKOUMAKA Gabriel,deputy,PCT,Bokoma
MAFIMBA BOUYA Jean Raoul,alternate,PCT,Bokoma
OWASSA YAUCKA Abel Jo,deputy,PCT,Owando commune
IBARA Jean,alternate,PCT,Owando commune
ONDONGO Gilbert,deputy,PCT,Owando district
BONGO-SAMBY IBOMBO Louise,alternate,PCT,Owando district
BININGA Aimé Ange Wilfrid,deputy,PCT,Ewo commune
MFALI Maturin,alternate,PCT,Ewo commune
ALOUMBA Alexandre,deputy,PCT,Ewo district
EKONGO Adolphe,alternate,PCT,Ewo district
OTSALEYOUA Saturnin,deputy,PCT,Okoyo
OYERONDAYA Louisie,alternate,PCT,Okoyo
MOUELE Serge Hubert,deputy,PCT,Mbama
DASSIA Robert,alternate,PCT,Mbama
OPIMBAT Léon Alfred,deputy,PCT,Mbomo
POUPET Emmanuel,alternate,PCT,Mbomo
NGANFOUOMO Charles,deputy,PCT,Etoumbi
OMVOUELET Francis Pépin,alternate,PCT,Etoumbi
HOBIE Thierry,deputy,PCT,Kellé
EDJO Jean Robert,alternate,PCT,Kellé
NDINGA MAKANDA Accel Arnaud,deputy,PCT,Ouesso 1
EZOUNA NGUIMBI Laure Jeremih,alternate,PCT,Ouesso 1
MOTTOM MAMONI Léonidas Carrel,deputy,PCT,Ouesso 2
ALONTSAMI Raymond,alternate,PCT,Ouesso 2
MBOUMA Albert,deputy,PCT,Pokola
MONBANDJO Jean Roger Bosco,alternate,PCT,Pokola
CHISSO Adélaïde Rufine,deputy,PCT,Pikounda
FOUNGUI Athanase,alternate,PCT,Pikounda
OKOUENI Michel,deputy,PCT,Kabo
AVOUNGOU Georges,alternate,PCT,Kabo
ZONIABA AYIMESSONE Henri,deputy,PCT,Souanké
BEH Jean Claude,alternate,PCT,Souanké
MINDA Pierre Christian,deputy,PCT,Mokéko
KIBA Salomon,alternate,PCT,Mokéko
NGOZOK MISSEKA Golfe,deputy,PCT,Ngbala
MASSE DENGUE Rodrigue,alternate,PCT,Ngbala
NDOUANE DAMBERT René,deputy,PCT,Sembé
MIKILIK Athanase,alternate,PCT,Sembé
MOKA Alain,deputy,PCT,Impfondo commune
MANGUELE Marie Solange,alternate,PCT,Impfondo commune
DOLAMA Virginie Euphrasie,deputy,PCT,Impfondo district
