departement,areaLabel,itemLabel,partyLabel
DÉPARTEMENT DE LA BOUENZA,Kingoué,Tamba Tamba Victor,UPADS
DÉPARTEMENT DE LA BOUENZA,Madingou,Nitou Jean Gilbert,UPADS
DÉPARTEMENT DE LA BOUENZA,Tsiaki,Bati Benoît,Parti la Vie
DÉPARTEMENT DE LA BOUENZA,Boko-Songho,Baloubouka Daniel,UR
DÉPARTEMENT DE LA BOUENZA,Mouyondzi,Munari Claudine,Indépendante
DÉPARTEMENT DE LA BOUENZA,Mabombo,Kalla Marcel,Indépendant
DÉPARTEMENT DE LA BOUENZA,Yamba,Mboungou Nzoumba Raoul,MSD
DEPARTEMENT DE LA LEKOUMOU,Bambama,Ngouaka Fidèle,Indépendant
DEPARTEMENT DE LA LEKOUMOU,Zanaga,Ngoubili Charles,Indépendant
DEPARTEMENT DE LA LEKOUMOU,Komono,Missié Dieudonné,Indépendant
DEPARTEMENT DE LA LEKOUMOU,Mayéyé,Mpassi Pierre,PCT
DEPARTEMENT DE LA LEKOUMOU,Sibiti 1,Kignoumbi Kia Mboungou,UPADS
DEPARTEMENT DE LA LEKOUMOU,Sibiti 2,Ikounga Martial De Paul,UPADS
DÉPARTEMENT DU POOL,Loumo,Matabouna Enoch,Indépendant
DÉPARTEMENT DU POOL,Kindamba,Mvouba Isidore,PCT
DÉPARTEMENT DU POOL,Vindza,Matsima Jean Paul,Indépendant
DÉPARTEMENT DU POOL,Goma Tse Tse,Kolelas Bernard,MCDDI
DÉPARTEMENT DU POOL,Kinkala,Kolelas Guy- Parfait,MCDDI
DÉPARTEMENT DU POOL,Mbandza-Ndounga,Tchibambelela Bernard,MCDDI
DÉPARTEMENT DU POOL,IgnIé,Mbemba Jean Martin,UP
DÉPARTEMENT DU POOL,Boko,Hemilombolo Jean Claude Dieudonné,Indépendant
DÉPARTEMENT DU POOL,Mayama,Miénahata Paul,MCDDI
DÉPARTEMENT DU POOL,Louingui,Kiminou Boniface,MCDDI
DÉPARTEMENT DU POOL,Mindouli 1,Mme Moundélé Ngollo Adélaïde,Club2002-PUR
DÉPARTEMENT DU POOL,Mindouli 2,Bété-Siba Emmanuel,PCT
DÉPARTEMENT DU POOL,Kimba,Mayela Stevy Etienne,Indépendant
DÉPARTEMENT DU POOL,Ngabé,Ndivili Gaston,PCT
DÉPARTEMENT DES PLATEAUX,Djambala,Onsouene Séraphin,UFD
DÉPARTEMENT DES PLATEAUX,Gamboma I,Nguié Paul Stanislas,PCT
DÉPARTEMENT DES PLATEAUX,Gamboma II,Gantsio Gambou G.T.,Indépendant
DÉPARTEMENT DES PLATEAUX,Ollombo I,Itoua Bruno J.R.,PCT
DÉPARTEMENT DES PLATEAUX,Ollombo II,Ibara Félix,PCT
DÉPARTEMENT DES PLATEAUX,Allembe,Soussa Louis,PCT
DÉPARTEMENT DES PLATEAUX,Mpouya,Mboulou Raymond,PCT
DÉPARTEMENT DES PLATEAUX,Ongogni,Ngakosso Jean Claude,PCT
DÉPARTEMENT DES PLATEAUX,Mbon,Ampion Philippe,UPDP
DÉPARTEMENT DES PLATEAUX,Lekana,Okombi Salissa André,PCT
DÉPARTEMENT DES PLATEAUX,Ngo,Gongara Nkoua Auguste Célestin,UPDP
DÉPARTEMENT DES PLATEAUX,Makotimpoko,Mapengo Ganongo,Indépendant
DÉPARTEMENT DES PLATEAUX,Abala,Ossebi Henri,Agir Pour le Congo
DÉPARTEMENT DE LA CUVETTE,Boundji,Lekoundzou Itihi Ossetoumba,PCT
DÉPARTEMENT DE LA CUVETTE,Makoua,Ayessa Firmin,PCT
DÉPARTEMENT DE LA CUVETTE,Ngoko,Dambendzet Jeanne,PCT
DÉPARTEMENT DE LA CUVETTE,Ntokou,Okoula Edouard Roger,PCT
DÉPARTEMENT DE LA CUVETTE,Tchikapika,Pea Daniel,PCT
DÉPARTEMENT DE LA CUVETTE,Oyo,Ibovi François,PCT
DÉPARTEMENT DE LA CUVETTE,Mossaka 1,Mokoko Léon Raphaël,Indépendant
DÉPARTEMENT DE LA CUVETTE,Mossaka 2,Bopoumbou Jean Marie,Agir pour le Congo
DÉPARTEMENT DE LA CUVETTE,Owando I,Moussa Pierre,PCT
DÉPARTEMENT DE LA CUVETTE,Owando II,Soko Abraham,PCT
DÉPARTEMENT DE LA CUVETTE,Loukoléla,Dékambi Eric,PCT
CUVETTE-OUEST,Mbama,Mouele Serges Hubert,Indépendant
CUVETTE-OUEST,Mbomo,Matamaya Jean,MSD
CUVETTE-OUEST,Kellé,Obie Thierry,Indépendant
CUVETTE-OUEST,Okoyo,Nzila Pierre,PCT
CUVETTE-OUEST,Ewo 1,Odzoki Serge Michel,PCT
CUVETTE-OUEST,Ewo 2,Kentoula Jean Serge,MSD
CUVETTE-OUEST,Etoumbi,Okoko Lambert,MSD
DÉPARTEMENT DE LA SANGHA,Pikounda,Motto Jacques,PCT
DÉPARTEMENT DE LA SANGHA,Mokeko,Mbouma Albert,PCT
DÉPARTEMENT DE LA SANGHA,Ngbala,Aniaba Pierre Symphorien,Club 2002 PUR
DÉPARTEMENT DE LA SANGHA,Souanké,Kissangui André,indépendant
DÉPARTEMENT DE LA SANGHA,Sémbé,Zaba Norbert Constant,Indépendant
DÉPARTEMENT DE LA SANGHA,Ouesso,Ndinga Makanda Accel Arnaud,PCT
DÉPARTEMENT DE LA LIKOUALA,Epéna 1,Tono Marie-Louise,Indépendante
DÉPARTEMENT DE LA LIKOUALA,Epéna 2,Batheas Jean Marie,Indépendant
DÉPARTEMENT DE LA LIKOUALA,Enyelle,Djombo Henri,PCT
DÉPARTEMENT DE LA LIKOUALA,Bétou,Sabaye Fernand,PCT
DÉPARTEMENT DE LA LIKOUALA,Dongou,Tassoua Jean Marie,FDN
DÉPARTEMENT DE LA LIKOUALA,Impfondo,Moka Alain,Indépendant
